customer_id,age,gender,geography,income,credit_score,balance,num_products,tenure_years,is_active_member,estimated_salary,card_type,num_complaints,digital_banking_usage,transaction_frequency,loan_repayment_status,churned
1,52.0,Male,New York,199523.17696649214,697,50543.442653220874,1,8,0,199523.17696649214,Gold,3,1,56,1,1
2,42.0,Male,London,57188.78745110308,551,102087.57439947299,2,6,1,57188.78745110308,Platinum,0,1,76,1,0
3,54.0,Male,Madrid,52959.5244307244,658,40214.58263879801,2,3,0,52959.5244307244,Silver,1,1,29,1,0
4,67.0,Male,Frankfurt,21698.695376122236,575,98954.38252210442,3,0,0,21698.695376122236,Silver,0,0,47,1,1
5,41.0,Female,New York,176696.92541088123,538,66296.95481728128,1,3,1,176696.92541088123,Gold,0,1,36,1,0
6,41.0,Male,Paris,48282.993316228,682,94004.67944739199,3,2,1,48282.993316228,Platinum,0,1,82,0,0
7,68.0,Male,London,64391.261846020614,742,107765.51669739293,2,5,0,64391.261846020614,Gold,1,0,81,1,0
8,56.0,Female,London,57144.283649031095,619,75530.44437880194,1,10,0,57144.283649031095,Silver,0,1,5,0,0
9,37.0,Male,London,196262.86451875351,633,10812.066190630881,1,0,0,196262.86451875351,Silver,0,1,25,1,1
10,53.0,Female,New York,173549.49786272077,558,171276.78385764034,1,10,1,173549.49786272077,Silver,2,1,28,1,1
11,38.0,Female,Paris,154837.9900988966,650,141963.84898996548,1,3,1,154837.9900988966,Silver,0,1,19,1,0
12,38.0,Male,Frankfurt,89859.93996441062,710,93472.03855445675,1,0,0,89859.93996441062,Silver,0,0,36,1,1
13,48.0,Female,Frankfurt,21216.771436675772,713,55263.35008947192,2,0,0,21216.771436675772,Gold,0,1,11,1,0
14,-5.0,Female,New York,194213.41805184085,693,104251.22951415138,1,5,0,194213.41805184085,Gold,0,1,91,1,0
15,19.0,Male,Frankfurt,56595.85155740187,600,118049.44125207042,3,5,0,56595.85155740187,Silver,3,1,17,0,1
16,36.0,Male,New York,31837.37356853881,597,138500.5907879804,2,8,0,31837.37356853881,Platinum,0,1,69,1,0
17,29.0,Female,London,88451.12857068652,713,143111.10822003928,1,10,0,88451.12857068652,Silver,0,1,65,1,0
18,49.0,Female,Madrid,70166.90598050712,714,,1,6,0,70166.90598050712,Gold,0,1,72,1,0
19,31.0,Female,London,189931.23469184042,636,12957.01552525103,2,5,0,189931.23469184042,Gold,2,1,29,1,1
20,23.0,Male,New York,24909.312256984274,615,84767.8392989428,2,2,1,24909.312256984274,Platinum,0,1,11,1,0
21,66.0,Female,New York,196192.1444797945,743,149655.04103058137,2,2,0,196192.1444797945,Gold,0,0,68,1,0
22,41.0,Male,London,125609.1133710532,621,53818.41486810176,1,4,1,125609.1133710532,Silver,0,1,54,1,0
23,46.0,Female,Frankfurt,73968.83933500119,709,160963.37885908363,2,5,1,73968.83933500119,Silver,0,0,38,1,0
24,23.0,Female,Madrid,176261.70893162338,639,190518.88075691377,2,5,1,176261.70893162338,Silver,0,1,65,1,0
25,36.0,Male,Frankfurt,95076.22468345087,566,159562.71597295805,1,7,0,95076.22468345087,Platinum,0,1,7,1,0
26,46.0,Female,Frankfurt,115865.72467780512,778,133079.52035516076,1,7,1,115865.72467780512,Gold,1,1,48,1,0
27,27.0,Female,Paris,45683.71216946381,659,77624.68863185759,2,0,1,45683.71216946381,Platinum,1,0,48,0,0
28,50.0,Female,Frankfurt,178456.9389655909,593,114081.7401873936,1,2,1,178456.9389655909,Silver,0,0,5,1,0
29,35.0,Male,New York,178091.9667657224,538,32695.26756396884,4,4,1,178091.9667657224,Silver,0,0,74,1,0
30,40.0,Female,Madrid,155298.68540726288,546,60944.46677041219,2,8,0,155298.68540726288,Silver,1,1,58,1,0
31,35.0,Female,London,150680.58044817188,620,64459.82587442648,2,3,0,150680.58044817188,Silver,1,0,94,1,1
32,72.0,Male,Madrid,56042.692092563724,804,103098.62869829735,2,4,1,56042.692092563724,Platinum,1,1,9,1,0
33,44.0,Male,New York,99682.09160704157,603,80391.13672858545,1,0,1,99682.09160704157,Silver,0,0,60,1,0
34,29.0,Male,Paris,36543.82754161731,765,113079.99783100322,2,6,0,36543.82754161731,Silver,1,1,21,1,0
35,57.0,Female,Paris,126468.05555195364,639,143891.34124386293,1,1,1,126468.05555195364,Silver,0,1,32,1,0
36,26.0,Female,Madrid,58005.88636676868,555,64513.62285643692,2,0,1,58005.88636676868,Gold,2,1,62,1,0
37,48.0,Male,Frankfurt,73735.2647559362,612,107430.05464685256,2,1,0,73735.2647559362,Silver,0,0,8,1,1
38,15.0,Female,London,166814.48972089362,547,79201.55050910317,1,7,0,166814.48972089362,Gold,1,1,35,1,1
39,25.0,Male,Paris,197320.75690321316,581,109508.12468285908,1,0,0,197320.75690321316,Silver,0,1,22,1,1
40,47.0,Female,London,88358.1886647578,579,,2,0,0,88358.1886647578,Silver,0,1,46,1,0
41,56.0,Male,New York,162981.1561956771,497,146061.7895421106,1,0,0,162981.1561956771,Silver,0,0,30,1,1
42,47.0,Male,New York,43759.80480894452,771,133515.20596465192,1,10,1,43759.80480894452,Platinum,0,1,84,1,0
43,43.0,Male,New York,115198.64697240721,666,120699.28144644969,2,1,1,115198.64697240721,Gold,0,1,66,1,0
44,40.0,Male,London,119219.578292932,595,28989.336349023535,2,0,1,119219.578292932,Silver,0,1,10,1,0
45,22.0,Female,Madrid,179878.8472953457,667,45936.70352270554,1,1,0,179878.8472953457,Silver,0,1,93,1,0
46,34.0,Female,Madrid,63450.78168062289,583,58791.08600997544,2,10,1,63450.78168062289,Silver,0,1,88,1,1
47,38.0,Male,New York,31557.395816151107,436,117931.01034037623,1,6,0,31557.395816151107,Silver,1,0,91,1,1
48,60.0,Male,New York,82977.77933795098,886,35449.75438047302,2,0,1,82977.77933795098,Gold,0,1,44,1,0
49,50.0,Male,New York,154317.13851897023,665,116876.11640839287,1,9,0,154317.13851897023,Silver,0,1,88,1,0
50,18.0,Female,New York,28279.377215413027,602,113223.46285663244,1,1,1,28279.377215413027,Silver,0,1,60,1,0
51,49.0,Female,New York,46299.30286316202,495,3215.5447240157664,1,2,1,46299.30286316202,Gold,2,0,80,1,1
52,39.0,Male,London,28167.78366042432,530,45619.8589116224,2,1,1,28167.78366042432,Silver,0,1,86,1,0
53,34.0,Female,Paris,109360.98329889686,782,152193.7787428375,2,2,1,109360.98329889686,Silver,1,1,61,1,1
54,54.0,Male,Paris,168498.32039835202,770,134870.45741974565,1,6,0,168498.32039835202,Silver,0,0,99,1,1
55,60.0,Female,London,67970.237903666,710,57480.30014025329,1,1,0,67970.237903666,Silver,2,1,44,1,1
56,58.0,Female,London,25657.73081617151,560,48256.950729277494,2,2,0,25657.73081617151,Silver,0,1,61,1,0
57,32.0,Female,Paris,51767.2997592817,770,0.0,1,5,0,51767.2997592817,Silver,0,1,38,1,0
58,40.0,Female,Frankfurt,35073.62956854544,685,173564.88438606574,1,3,1,35073.62956854544,Silver,1,1,1,1,0
59,49.0,Female,London,119622.92112518236,702,102052.71842155226,3,0,0,119622.92112518236,Silver,0,0,74,1,1
60,59.0,Female,New York,110024.32288983928,685,194186.20276726002,2,7,1,110024.32288983928,Gold,0,0,75,0,0
61,37.0,Female,New York,64109.285563648045,529,90416.44565138716,1,6,0,64109.285563648045,Platinum,1,0,3,1,1
62,42.0,Male,New York,171606.3577738209,554,114129.46494447927,2,7,1,171606.3577738209,Gold,0,1,20,1,0
63,28.0,Male,London,93950.0836641671,609,144564.9235714298,2,8,1,93950.0836641671,Silver,0,1,37,1,0
64,27.0,Male,New York,194433.6866403064,701,181942.1343090455,2,8,0,194433.6866403064,Silver,0,1,4,1,0
65,57.0,Female,London,61965.76647909521,539,125051.08292422119,2,2,1,61965.76647909521,Platinum,0,1,1,1,0
66,65.0,Male,New York,132058.62709864596,635,100120.36089691464,2,10,0,132058.62709864596,Silver,0,1,58,1,0
67,43.0,Male,Paris,163191.7639336076,635,101397.88305576818,2,8,0,163191.7639336076,Platinum,0,1,34,1,0
68,60.0,Male,New York,54034.83815427425,713,47708.21988965325,2,10,1,54034.83815427425,Gold,0,0,34,0,0
69,50.0,Male,Paris,162786.84715501167,703,80905.85665671746,2,5,0,162786.84715501167,Gold,0,0,89,1,0
70,35.0,Female,New York,179171.9565026555,569,102560.97423075447,2,9,0,179171.9565026555,Silver,0,1,13,1,0
71,50.0,Female,New York,140190.08630000087,765,169094.6937550881,1,9,0,140190.08630000087,Gold,2,0,53,1,1
72,68.0,Female,Frankfurt,181267.38165214728,556,78497.84032593286,1,1,0,181267.38165214728,Silver,1,1,40,1,1
73,44.0,Female, paris ,90644.53224632681,737,153132.7322736893,3,0,0,90644.53224632681,Silver,0,1,86,1,0
74,68.0,Female,New York,92316.682431074,605,95908.09943680702,3,3,0,92316.682431074,Gold,0,1,96,1,0
75,5.0,Male,Paris,23317.701953231528,663,162177.92797912192,2,8,0,23317.701953231528,Silver,1,1,76,1,1
76,57.0,Male,Paris,163816.5956525495,668,133836.12469864756,1,1,1,163816.5956525495,Silver,1,1,24,1,1
77,46.0,Female,London,25961.229989368374,665,130459.76814256761,1,0,0,25961.229989368374,Silver,0,0,81,1,1
78,40.0,Male,London,67498.02024654567,703,148941.3329997764,1,1,0,67498.02024654567,Silver,0,1,20,1,0
79,46.0,Male,Frankfurt,131642.9269490453,681,141657.99556429795,2,6,0,131642.9269490453,Gold,0,1,88,1,0
80,15.0,Female, new york ,129383.58950191022,712,153190.66978519122,1,4,1,129383.58950191022,Silver,0,1,49,1,0
81,41.0,Male,London,106485.33796569113,687,206588.19796202827,2,4,0,106485.33796569113,Platinum,0,0,63,1,0
82,50.0,Male,London,131178.79895249422,548,,2,9,1,131178.79895249422,Platinum,0,1,11,1,0
83,67.0,Male,Frankfurt,78005.15156395407,671,123321.21170824813,2,3,0,78005.15156395407,Silver,0,0,30,1,0
